/*Name,Tier,TroopID1,Amount1,TroopID2,Amount2,TroopID3,Amount3,TroopID4,Amount4,,,,,,Comment1,Comment2,*/
Compound,1,24,6,0,0,0,0,0,0,,,,,,,,
InfRush,1,13,5,22,4,0,0,0,0,,,,,,,,
,1,26,2,0,0,0,0,0,0,,,,,,,,
,1,25,6,0,0,0,0,0,0,,,,,,,,
,2,39,3,24,4,0,0,0,0,,,,,,,,
,2,28,4,24,2,0,0,0,0,,,,,,,,
Cav,2,74,5,0,0,0,0,0,0,,,,,,,,
,2,26,4,0,0,0,0,0,0,,,,,,,,
,2,24,7,0,0,0,0,0,0,,,,,,,,
,3,28,7,0,0,0,0,0,0,,,,,,,,
,3,39,7,0,0,0,0,0,0,,,,,,,,
,3,26,4,0,0,0,0,0,0,,,,,,,,
,3,39,5,28,3,0,0,0,0,,,,,,,,
Siege,3,25,6,29,1,34,1,0,0,,,,,,,,
,4,36,6,0,0,0,0,0,0,,,,,,,,
knights,4,33,2,37,2,26,2,0,0,,,,,,,,
,4,5,8,28,4,0,0,0,0,,,,,,,,
,4,40,3,39,6,0,0,0,0,,,,,,,,
,4,26,2,69,3,5,4,0,0,,,,,,,,
,4,29,2,34,1,17,1,0,0,,,,,,,,
Potetii,5,5,8,69,4,0,0,0,0,,,,,,,,
,5,50,2,40,4,28,4,0,0,,,,,,,,
,5,33,3,37,4,5,2,0,0,,,,,,,,
,5,26,6,28,3,0,0,0,0,,,,,,,,
,5,29,3,36,6,32,1,0,0,,,,,,,,
COMITATENSES,6,27,3,26,5,5,3,0,0,,,,,,,,
,6,26,6,28,6,0,0,0,0,,,,,,,,
cavfinal,6,50,4,69,6,0,0,0,0,,,,,,,,
,6,36,6,29,3,32,1,0,0,,,,,,,,
,6,50,6,40,4,0,0,0,0,,,,,,,,
,6,1,2,51,5,52,4,0,0,,,,,,,,
Nords,7,1,3,15,5,0,0,0,0,,,,,,,,
,7,27,5,50,6,0,0,0,0,,,,,,,,
,7,26,6,33,6,0,0,0,0,,,,,,,,
,7,60,4,28,8,0,0,0,0,,,,,,,,
,7,38,1,37,6,36,6,0,0,,,,,,,,
,7,62,5,29,7,0,0,0,0,,,,,,,,
Naskarl,7,27,6,0,0,0,0,0,0,,,,,,,,
Final,8,172,1,45,1,175,5,27,10,,,,,,,,
