/*Name,Tier,TroopID1,Amount1,TroopID2,Amount2,TroopID3,Amount3,TroopID4,Amount4,,,,,,Comment1,Comment2,*/
Compound,1,119,6,116,6,0,0,0,0,,,,,,,,
InfRush,1,119,9,0,0,0,0,0,0,,,,,,,,
Cav,1,127,5,117,6,0,0,0,0,,,,,,,,
,1,126,3,117,6,0,0,0,0,,,,,,,,
,1,126,2,119,6,0,0,0,0,,,,,,,,
,2,126,4,116,6,0,0,0,0,,,,,,,,
,2,117,6,127,6,116,3,0,0,,,,,,,,
Cav,2,127,12,0,0,0,0,0,0,,,,,,,,
,2,126,6,117,6,0,0,0,0,,,,,,,,
,2,118,2,116,6,35,1,0,0,,,,,,,,
,3,152,4,151,4,0,0,0,0,,,,,,,,
,3,118,6,115,6,0,0,0,0,,,,,,,,
,3,119,16,116,12,0,0,0,0,,,,,,,,
,3,128,6,126,10,0,0,0,0,,,,,,,,
Siege,3,118,6,35,2,0,0,0,0,,,,,,,,
,4,128,10,115,6,152,3,0,0,,,,,,,,
,4,118,8,114,2,153,3,0,0,,,,,,,,
Cav,4,151,7,152,7,0,0,0,0,,,,,,,,
Extra,4,125,3,155,5,0,0,0,0,,,,,,,,
Siege,4,118,6,35,2,32,1,0,0,,,,,,,,
,5,125,5,114,5,0,0,0,0,,,,,,,,
,5,124,1,118,9,115,9,0,0,,,,,,,,
Cav,5,153,6,154,6,0,0,0,0,,,,,,,,
,5,155,6,156,3,0,0,0,0,,,,,,,,
,5,150,5,35,3,32,1,0,0,,,,,,,,
,6,125,9,114,9,0,0,0,0,,,,,,,,
,6,124,1,125,8,128,6,0,0,,,,,,,,
cavfinal,6,153,6,154,8,150,6,0,0,,,,,,,,
,6,125,6,114,6,156,1,157,1,,,,,,,,
,6,150,7,155,5,35,6,32,3,,,,,,,,
,7,125,11,114,8,0,0,0,0,,,,,,,,
,7,124,1,125,7,114,6,0,0,,,,,,,,
cavfinal,7,153,8,154,7,150,7,0,0,,,,,,,,
,7,125,8,114,6,156,1,157,1,,,,,,,,
,7,150,10,155,3,35,5,32,3,,,,,,,,
,7,124,1,125,15,0,0,0,0,,,,,,,,
,8,173,1,124,2,125,15,0,0,,,,,,,,
